Season,TeamID,FirstDayNum,LastDayNum,CoachName
2022,1101,0,154,brette_tanner
2022,1102,0,154,joe_scott
2022,1103,0,154,john_groce
2022,1104,0,154,nate_oats
2022,1105,0,154,dylan_howard
2022,1106,0,154,mo_williams
2022,1107,0,154,dwayne_killings
2022,1108,0,154,landon_bussie
2022,1110,0,154,mike_brennan
2022,1111,0,154,dustin_kerns
2022,1112,0,154,tommy_lloyd
2022,1113,0,154,bobby_hurley
2022,1114,0,154,darrell_walker
2022,1115,0,154,solomon_bozeman
2022,1116,0,154,eric_musselman
2022,1117,0,154,mike_balado
2022,1119,0,154,jimmy_allen
2022,1120,0,154,bruce_pearl
2022,1122,0,154,nate_james
2022,1123,0,154,james_whitford
2022,1124,0,154,scott_drew
2022,1125,0,154,casey_alexander
2022,1126,0,154,reggie_theus
2022,1127,0,154,levell_sanders
2022,1129,0,154,leon_rice
2022,1130,0,154,earl_grant
2022,1131,0,154,joe_jones
2022,1132,0,154,michael_huger
2022,1133,0,154,brian_wardle
2022,1135,0,154,mike_martin_bm
2022,1136,0,154,jared_grasso
2022,1137,0,154,nathan_davis
2022,1138,0,154,jim_whitesell
2022,1139,0,154,lavall_jordan
2022,1140,0,154,mark_pope
2022,1141,0,154,tony_barbee
2022,1142,0,154,john_smith
2022,1143,0,154,mark_fox
2022,1144,0,154,kevin_mcgeehan
2022,1145,0,154,reggie_witherspoon
2022,1146,0,154,anthony_boone
2022,1148,0,154,patrick_sellers
2022,1149,0,154,barclay_radebaugh
2022,1150,0,154,ron_sanchez
2022,1151,0,154,lamont_paris
2022,1152,0,154,gerald_gillion
2022,1153,0,154,wes_miller
2022,1154,0,154,duggar_baucom
2022,1155,0,154,brad_brownell
2022,1156,0,154,dennis_gates
2022,1157,0,154,cliff_ellis
2022,1158,0,154,pat_kelsey
2022,1159,0,154,matt_langel
2022,1160,0,154,tad_boyle
2022,1161,0,154,niko_medved
2022,1162,0,154,jim_engles
2022,1163,0,154,dan_hurley
2022,1164,0,154,juan_dixon
2022,1165,0,154,brian_earl
2022,1166,0,154,greg_mcdermott
2022,1167,0,154,rod_barnes
2022,1168,0,154,dedrique_taylor
2022,1169,0,154,mark_gottfried
2022,1170,0,154,brandon_laird
2022,1171,0,154,david_mclaughlin
2022,1172,0,154,bob_mckillop
2022,1173,0,154,anthony_grant
2022,1174,0,154,martin_ingelsby
2022,1175,0,154,stan_waterman
2022,1176,0,154,jeff_wulbrun
2022,1177,0,154,tony_stubblefield
2022,1178,0,154,mike_davis
2022,1179,0,154,darian_devries
2022,1180,0,154,zach_spiker
2022,1181,0,154,mike_krzyzewski
2022,1182,0,154,keith_dambrot
2022,1183,0,154,marty_simmons
2022,1184,0,154,a_w_hamilton
2022,1185,0,154,stan_heath
2022,1186,0,154,david_riley
2022,1187,0,154,joe_dooley
2022,1188,0,154,brian_barone
2022,1189,0,154,mike_schrage
2022,1190,0,154,desmond_oliver
2022,1191,0,154,todd_lickliter
2022,1192,0,154,greg_herenda
2022,1193,0,154,jay_young
2022,1194,0,154,dusty_may
2022,1195,0,154,michael_fly
2022,1196,0,154,michael_white
2022,1197,0,154,robert_mccullum
2022,1198,0,154,jeremy_ballard
2022,1199,0,154,leonard_hamilton
2022,1200,0,154,kyle_neptune
2022,1201,0,154,justin_hutson
2022,1202,0,154,bob_richey
2022,1203,0,154,jamion_christian
2022,1204,0,154,brian_burg
2022,1205,0,154,tim_craft
2022,1206,0,154,kim_english
2022,1207,0,154,patrick_ewing
2022,1208,0,154,tom_crean
2022,1209,0,154,rob_lanier
2022,1210,0,154,josh_pastner
2022,1211,0,154,mark_few
2022,1212,0,154,donte_jackson
2022,1213,0,154,bryce_drew
2022,1214,0,154,edward_joyner
2022,1216,0,154,john_gallagher
2022,1217,0,154,tommy_amaker
2022,1218,0,154,eran_ganot
2022,1219,0,107,tubby_smith
2022,1219,108,154,g_g_smith
2022,1220,0,154,speedy_claxton
2022,1221,0,154,brett_nelson
2022,1222,0,154,kelvin_sampson
2022,1223,0,154,ron_cottrell
2022,1224,0,154,kenneth_blakeney
2022,1225,0,154,zac_claus
2022,1226,0,154,ryan_looney
2022,1227,0,154,luke_yaklich
2022,1228,0,154,brad_underwood
2022,1229,0,105,dan_muller
2022,1229,106,154,brian_jones
2022,1230,0,154,carson_cunningham
2022,1231,0,154,mike_woodson
2022,1232,0,154,josh_schertz
2022,1233,0,154,rick_pitino
2022,1234,0,154,fran_mccaffery
2022,1235,0,154,t_j_otzelberger
2022,1236,0,154,jon_coffman
2022,1237,0,154,matt_crenshaw
2022,1238,0,154,wayne_brent
2022,1239,0,154,jordan_mincy
2022,1240,0,154,ray_harper
2022,1241,0,154,mark_byington
